,x,y,type,id,color
0,-1.9478654,-0.47271153,CRISPR associated protein Cas1,0,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
1,-1.340124,3.614489,CRISPR associated protein Cas1,1,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
2,-3.0907485,-3.026861,CRISPR associated protein Cas1,2,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
3,2.2527714,4.4719534,CRISPR associated protein Cas1,3,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
4,14.066458,-2.3722231,CRISPR associated protein Cas2,4,"(1.0, 0.4980392156862745, 0.054901960784313725)"
5,-2.216659,1.2960765,CRISPR associated protein Cas1,5,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
6,15.138968,-0.4147857,CRISPR associated protein Cas2,6,"(1.0, 0.4980392156862745, 0.054901960784313725)"
7,-2.3324378,1.4304655,CRISPR associated protein Cas1,7,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
8,13.397259,-0.1888725,CRISPR associated protein Cas2,8,"(1.0, 0.4980392156862745, 0.054901960784313725)"
9,-5.3277936,3.640939,CRISPR associated protein Cas1,9,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
10,16.17858,-2.9298062,CRISPR associated protein Cas2,10,"(1.0, 0.4980392156862745, 0.054901960784313725)"
11,14.428524,-0.56387025,CRISPR associated protein Cas2,11,"(1.0, 0.4980392156862745, 0.054901960784313725)"
12,12.351648,0.07349511,CRISPR associated protein Cas2,12,"(1.0, 0.4980392156862745, 0.054901960784313725)"
13,-2.5391917,0.8288588,CRISPR associated protein Cas1,13,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
14,-3.8845599,2.743369,CRISPR associated protein Cas1,14,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
15,-1.4306011,-1.2441219,CRISPR associated protein Cas1,15,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
16,14.557407,-0.4718207,CRISPR associated protein Cas2,16,"(1.0, 0.4980392156862745, 0.054901960784313725)"
17,15.834035,1.3474219,CRISPR associated protein Cas2,17,"(1.0, 0.4980392156862745, 0.054901960784313725)"
18,-0.2590598,-1.7367173,CRISPR associated protein Cas1,18,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
19,-0.5990441,2.42818,CRISPR associated protein Cas1,19,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
20,-0.32641485,1.5443524,CRISPR associated protein Cas1,20,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
21,-4.01829,1.6562524,CRISPR associated protein Cas1,21,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
22,14.503015,1.112993,CRISPR associated protein Cas2,22,"(1.0, 0.4980392156862745, 0.054901960784313725)"
23,-4.2725043,-3.2526197,CRISPR associated protein Cas1,23,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
24,14.126015,0.11971941,CRISPR associated protein Cas2,24,"(1.0, 0.4980392156862745, 0.054901960784313725)"
25,11.600593,3.7365255,CRISPR associated protein Cas2,25,"(1.0, 0.4980392156862745, 0.054901960784313725)"
26,-4.8792086,2.4032693,CRISPR associated protein Cas1,26,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
